Accepted by Customer,Принято клиентом
"e-Factura row {0} «{1}»: allocated qty {2} exceeds factura qty {3}","Строка e-Factura {0} «{1}»: распределено {2}, это больше количества фактуры {3}"
Purchase Invoice row {0} «{1}» is already linked to an e-Factura,Строка счёта покупки {0} «{1}» уже связана с e-Factura
"Purchase Invoice row {0} «{1}»: qty {2} exceeds remaining e-Factura qty","Строка счёта покупки {0} «{1}»: количество {2} больше остатка по e-Factura"
Cannot allocate Purchase Invoice on a cancelled e-Factura,Нельзя распределять счёт покупки на отменённой e-Factura
e-Factura row not found,Строка e-Factura не найдена
Purchase Invoice Item {0} is missing on {1},Строка счёта покупки {0} отсутствует в {1}
"e-Factura row {0} «{1}»: allocated qty {2} exceeds Purchase Invoice qty {3}","Строка e-Factura {0} «{1}»: распределено {2}, это больше количества в счёте покупки {3}"
 · Linked to PI, · связана со счётом
Linked to PI,Связана со счётом
Allocate all rows to a Purchase Invoice before submit,Перед проведением распределите все строки на счёт покупки
Rows not allocated,Нераспределённые строки
Cannot create documents from a cancelled Purchase eFactura,Нельзя создавать документы из отменённой входящей eFactura
Return to Purchase eFactura,Вернуться во входящую eFactura
Open e-Factura,Открыть eFactura
Stay here,Остаться здесь
"Purchase Invoice {0} is submitted. Open Purchase eFactura {1} to submit it?","Счёт покупки {0} проведён. Открыть входящую eFactura {1}, чтобы провести её?"
Taxpayer Type,Тип налогоплательщика
Supplier Taxpayer Type,Тип налогоплательщика поставщика
Buyer Taxpayer Type,Тип налогоплательщика покупателя
Individual,Физическое лицо
Non-Resident,Нерезидент
Company,Юридическое лицо,Purchase eFactura
Company,Юридическое лицо,Sales eFactura
Supplier Details,Реквизиты поставщика
Buyer Details,Реквизиты покупателя
Customer Details,Реквизиты клиента
Transporter Details,Реквизиты перевозчика
Rate (with VAT) (eFactura Currency),Ставка с НДС (валюта eFactura)
Customer is required to create {0},Для создания {0} нужен клиент
No items on Sales eFactura — fetch details first,В исходящей eFactura нет позиций — сначала загрузите детали
Cannot create documents from a cancelled Sales eFactura,Нельзя создавать документы из отменённой исходящей eFactura
e-Factura already has a Sales Invoice,У e-Factura уже есть счёт продажи
VAT Account (Sales),Счёт НДС (продажа)
Sales Taxes and Charges Template,Шаблон налогов продажи
Sales taxes are empty,Налоги продажи пустые
"e-Factura VAT is {0} but Sales taxes are empty. For company {1} set VAT Account (Sales) or Sales Taxes and Charges Template in eFactura Settings (Sales → Sales Tax Settings).","В e-Factura НДС {0}, а в продаже налоги пустые. Для компании {1} укажите счёт НДС (продажа) или шаблон налогов продажи в eFactura Settings (Outgoing → Sales Tax Settings)."
Return to Sales eFactura,Вернуться в исходящую eFactura
"Sales Invoice {0} is submitted. Open Sales eFactura {1} to submit it?","Счёт продажи {0} проведён. Открыть исходящую eFactura {1}, чтобы провести её?"
"Default Sales Taxes and Charges Template for this company. Applied when Item-wise tax is not used.","Шаблон налогов продажи по умолчанию для компании. Применяется, если Item-wise налог не используется."
"Which tax account is e-Factura VAT on Sales Order / Sales Invoice. If the Sales Taxes template does not include this account, it is added as Actual with the VAT amount from the factura.","Какой счёт — НДС e-Factura в заказе / счёте продажи. Если его нет в шаблоне налогов, он добавляется как Actual с суммой НДС из фактуры."
"Per company: Tax Category, Sales Taxes template, and VAT account for Sales Order / Sales Invoice created from a Sales eFactura.","Категория налога, шаблон налогов продажи и счёт НДС по компании для заказа / счёта продажи из Sales eFactura."
"Set on Sales Order / Sales Invoice. Used to pick Item Tax Template.","Ставится на заказ клиента / счёт продажи. Нужна для выбора Item Tax Template."
VAT Account (Sales) must be a ledger account, not a group,Счёт НДС (продажа) должен быть листовым счётом, не группой
Sales Taxes and Charges Template {0} does not belong to company {1},Шаблон налогов продажи {0} не относится к компании {1}
Item Tax Templates,Шаблоны налогов номенклатуры
"Allowed Item Tax Templates when loading a Sales eFactura from SFS. A line with a VAT % gets the first template from this list with the same rate.","Разрешённые Item Tax Template при загрузке Sales eFactura из SFS. Строке с % НДС подставляется первый шаблон из списка с той же ставкой."
Item Tax Template {0} is listed more than once,Item Tax Template {0} указан больше одного раза
"Use % as a wildcard to match several e-Factura names (for example Milk%).","Используйте % как маску для нескольких названий из e-Factura (например Молоко%)."
Creation Motive,Мотив создания
Is Return,Возврат
Party Type,Тип стороны
Party,Сторона
Mark as Return,Отметить как возврат
Marked as return.,Отмечено как возврат.
Unmark as Return,Снять отметку возврата
Unmarked as return.,Отметка возврата снята.
Marking as return...,Отметка как возврат...
Unmarking as return...,Снятие отметки возврата...
e-Factura is not marked as a return,e-Factura не отмечена как возврат
Cannot unmark a cancelled e-Factura as a return,Нельзя снять отметку возврата с отменённой e-Factura
"Cannot unmark as return: e-Factura is already linked to a Purchase Order, Invoice, Receipt, or Delivery Note","Нельзя снять отметку возврата: e-Factura уже связана с заказом, счётом, приходом или накладной"
Link Purchase Receipt,Связать приход
Link Delivery Note Return,Связать возвратную накладную
Unlink Invoice,Отвязать счёт покупки
Unlink Purchase Invoice,Отвязать счёт покупки
Unlink Purchase Receipt,Отвязать приход
Unlink Delivery Note Return,Отвязать возвратную накладную
Unlink all Purchase Invoice connections from this e-Factura?,Отвязать все связи со счётом покупки у этой e-Factura?
Unlink all Purchase Receipt connections from this e-Factura?,Отвязать все связи с приходом у этой e-Factura?
Unlink all Delivery Note Return connections from this e-Factura?,Отвязать все связи с возвратной накладной у этой e-Factura?
Unlink all Purchase Order connections from this e-Factura?,Отвязать все связи с заказом поставщику у этой e-Factura?
Purchase Invoice unlinked.,Счёт покупки отвязан.
Purchase Receipt unlinked.,Приход отвязан.
Delivery Note unlinked.,Накладная отвязана.
Purchase Order unlinked.,Заказ поставщику отвязан.
Unlinking...,Отвязка...
Unlink is allowed only before submitting Purchase eFactura,Отвязать можно только до проведения Purchase eFactura
No Purchase Invoice is linked,Счёт покупки не связан
No Purchase Order is linked,Заказ поставщику не связан
No {0} is linked,{0} не связан
Unlinked Purchase Invoice.,Счёт покупки отвязан.
Unlinked Purchase Order.,Заказ поставщику отвязан.
Unlinked {0}.,{0} отвязан.
Delivery Note Return,Возвратная накладная
Allocate all rows to a Purchase Receipt before submit,Перед проведением распределите все строки на приход
Allocate all rows to a Delivery Note Return before submit,Перед проведением распределите все строки на возвратную накладную
Purchase Invoice and Purchase Order are not used for Non-Transfer e-Factura.,Счёт покупки и заказ поставщику не используются для Non-Transfer e-Factura.
Only Non-Transfer e-Factura can be marked as a return,Как возврат можно отметить только Non-Transfer e-Factura
"Cannot mark as return: e-Factura is already linked to a Purchase Order, Invoice, Receipt, or Delivery Note","Нельзя отметить как возврат: e-Factura уже связана с заказом, счётом, приходом или накладной"
Is Return cannot be changed manually,Признак возврата нельзя менять вручную
Customer is required before submit,Перед проведением укажите клиента
"Purchase Receipt can be linked only for Non-Transfer that is not a return","Приход можно связать только с Non-Transfer, который не отмечен как возврат"
Delivery Note Return can be linked only after marking the e-Factura as a return,Возвратную накладную можно связать только после отметки e-Factura как возврат
Link Purchase Receipt Return,Связать возвратный приход
Unlink Purchase Receipt Return,Отвязать возвратный приход
Return Purchase Receipt,Возвратный приход
Sales eFactura for return (Non-Transfer),Исходящая eFactura на возврат (Non-Transfer)
Purchase Receipt Return,Возвратный приход
Purchase Receipt Return linked.,Возвратный приход связан.
Purchase Receipt Return unlinked.,Возвратный приход отвязан.
Unlink all Purchase Receipt Return connections from this e-Factura?,Отвязать все связи с возвратным приходом от этой e-Factura?
Allocate all rows to a Purchase Receipt Return before submit,Перед проведением распределите все строки на возвратный приход
Please select a Supplier first.,Сначала выберите поставщика.
Select a Supplier on the e-Factura first,Сначала выберите поставщика на e-Factura
Matching Purchase Receipt...,Сопоставление прихода...
Only a return Purchase Receipt can create a return e-Factura,Возвратную e-Factura можно создать только из возвратного прихода
Purchase Receipt must be submitted,Приход должен быть проведён
Purchase Receipt Return {0} must have a Return Against document,У возвратного прихода {0} должен быть документ Return Against
Cannot mark a submitted e-Factura as a return,Проведённую e-Factura нельзя отметить как возврат
Cannot unmark a submitted e-Factura as a return,С проведённой e-Factura нельзя снять отметку возврата
"Cannot mark as return: e-Factura is already linked to a Sales Invoice, Delivery Note, or Purchase Receipt","Нельзя отметить как возврат: e-Factura уже связана со счётом продажи, накладной или приходом"
"Cannot unmark as return: e-Factura is already linked to a Sales Invoice, Delivery Note, or Purchase Receipt","Нельзя снять отметку возврата: e-Factura уже связана со счётом продажи, накладной или приходом"
Purchase Receipt Return can be linked only after marking the e-Factura as a return,Возвратный приход можно связать только после отметки e-Factura как возврат
No Purchase Receipt Return is linked,Возвратный приход не связан
Unlink is allowed only before submitting Sales eFactura,Отвязать можно только до проведения Sales eFactura
Cannot cancel or amend Purchase Receipt {0}: Sales eFactura {1} is submitted,Нельзя отменить или изменить приход {0}: исходящая e-Factura {1} проведена
Quantity exceeds Purchase Receipt Return,Количество превышает возвратный приход
Fiscal status can be actualized only for submitted receipts.,Фискальный статус можно обновлять только у проведённых приходов.
Fiscal status updated for {0} receipts.,Фискальный статус обновлён для {0} приходов.
Please select at least one Purchase Receipt.,Выберите хотя бы один приход.
Sales Invoice and Sales Order are not used for Non-Transfer e-Factura.,Счёт продажи и заказ клиента не используются для Non-Transfer e-Factura.

